community_id,size
2,21972
1,15138
0,13571
6,9641
4,3258
18,2602
3,1671
11,1424
19,1144
15,1010
5,1000
16,953
8,635
14,570
9,550
22,546
12,546
7,537
39,457
17,447
44,395
73,390
53,379
35,378
29,378
41,340
47,264
10,197
27,76
48,24
68,23
350,19
66,14
366,13
87,13
113,11
174,11
157,11
145,11
61,11
149,11
63,10
128,10
62,10
37,10
307,9
212,9
123,9
317,9
70,9
228,9
119,9
191,9
391,9
168,8
59,8
78,8
51,8
295,8
195,8
224,8
328,8
38,7
117,7
139,7
118,7
268,7
49,7
100,7
288,7
56,7
112,7
294,7
278,7
146,7
156,7
165,7
167,7
57,6
381,6
301,6
275,6
293,6
336,6
318,6
74,6
194,6
122,6
98,6
217,6
394,6
121,6
210,6
178,6
82,6
247,6
279,6
64,6
89,6
13,5
36,5
378,5
28,5
339,5
60,5
365,5
343,5
316,5
80,5
306,5
312,5
79,5
104,5
227,5
235,5
232,5
240,5
246,5
244,5
241,5
273,5
271,5
94,5
88,5
65,5
285,5
125,5
103,5
176,5
132,5
138,5
140,5
182,5
193,5
192,5
190,5
216,5
223,5
209,5
395,5
169,5
150,5
171,5
170,5
386,4
393,4
396,4
34,4
148,4
398,4
152,4
163,4
164,4
153,4
175,4
135,4
136,4
133,4
130,4
185,4
186,4
116,4
198,4
196,4
127,4
124,4
120,4
141,4
181,4
137,4
214,4
207,4
208,4
205,4
201,4
230,4
231,4
248,4
264,4
261,4
263,4
107,4
106,4
99,4
108,4
211,4
254,4
260,4
50,4
54,4
314,4
304,4
67,4
69,4
75,4
76,4
311,4
319,4
298,4
280,4
281,4
287,4
291,4
96,4
90,4
91,4
83,4
340,4
345,4
341,4
361,4
355,4
354,4
349,4
347,4
356,4
358,4
363,4
45,4
52,4
31,4
32,4
364,4
380,4
42,4
46,4
24,4
26,4
383,4
379,4
220,3
134,3
147,3
215,3
213,3
225,3
180,3
183,3
184,3
197,3
129,3
126,3
187,3
188,3
189,3
114,3
115,3
131,3
142,3
144,3
143,3
179,3
397,3
33,3
388,3
177,3
173,3
172,3
166,3
162,3
159,3
160,3
161,3
155,3
154,3
158,3
151,3
392,3
390,3
389,3
387,3
269,3
267,3
266,3
265,3
262,3
257,3
258,3
259,3
253,3
255,3
256,3
245,3
249,3
250,3
251,3
252,3
234,3
238,3
237,3
236,3
233,3
243,3
242,3
239,3
105,3
102,3
101,3
109,3
110,3
111,3
226,3
229,3
199,3
200,3
204,3
206,3
202,3
203,3
218,3
219,3
221,3
222,3
282,3
283,3
290,3
292,3
286,3
289,3
300,3
299,3
297,3
296,3
95,3
276,3
274,3
97,3
277,3
85,3
93,3
92,3
84,3
272,3
86,3
270,3
326,3
325,3
324,3
323,3
322,3
58,3
55,3
320,3
313,3
321,3
315,3
77,3
81,3
308,3
309,3
310,3
302,3
305,3
71,3
72,3
303,3
284,3
338,3
337,3
346,3
344,3
342,3
327,3
332,3
329,3
330,3
331,3
362,3
360,3
357,3
359,3
351,3
348,3
353,3
352,3
335,3
334,3
333,3
43,3
40,3
367,3
368,3
369,3
373,3
372,3
371,3
370,3
377,3
376,3
375,3
374,3
382,3
384,3
20,3
385,3
21,3
23,3
25,3
30,3
